CC(C)=CC[NH2+]Cc1cc([N+](=O)[O-])ccc1Cl,ZINC000191631359
COc1ccc(-c2noc(-c3cc(CN4CCOCC4)on3)n2)c(C)c1,ZINC001212888573
Cc1ccnc([C@H]2CCN([C@H](C)c3nc(-c4ccc(F)c(C)c4)no3)C2)c1,ZINC000568181597
C[C@@H](c1cnccn1)[N@@H+](C)C[C@@H]1CCN(C(=O)C2(CF)CC2)C1,ZINC001029835409
Cc1cc(C(=O)N2CC[C@H](C)C(C)(C)C2)c(C)n1NC(N)=O,ZINC000907377935
CCC(C)(C)C(=O)NC[C@H](NC(=O)c1cnn(CCF)c1)C(C)C,ZINC001532827053
CCCc1nc(COC(=O)[C@H](CC)NC(=O)OC(C)(C)C)cs1,ZINC000769644512
CN(C(=O)c1ccc(N2CCCC2=O)cc1)[C@@H]1CCCN(c2ccccc2)C1=O,ZINC000115502386
Cc1noc(C(F)F)c1C(=O)N[C@H]1CCN(C(=O)CC(F)(F)F)[C@@H]1C,ZINC000988701416
CC1(C)CCc2onc(C(=O)NCCC[NH2+]CCCF)c2C1,ZINC001163130461
CC[C@H](Oc1cccc(C)c1)C(=O)NCCC[NH2+]C[C@@H]1CCOC1,ZINC001168120653
CCOc1cccc2cc(S(=O)(=O)N3CCC[C@H](C)C3)c(=O)oc21,ZINC000015862207
CCc1nc(CCNC(=O)N[C@@H]2C[C@]2(F)c2ccccc2)sc1C,ZINC000425436180
CN(Cc1cnsn1)C[C@@H]1CCC[N@@H+](C)C1,ZINC000846806470
CCn1nnc2cc(C(=O)N(C)[C@@H]3CCN(C/C=C\Cl)C3)ccc21,ZINC001033653413
CCc1ccsc1C(=O)N1CC[C@@H](CNC(=O)C(F)F)C1,ZINC001448303211
CCOC(=O)c1ccc(NC(=O)[C@@H](OC)[C@H]2CCOC2)c(NC(C)C)c1,ZINC000912074217
C=CC(=O)NCCNC(=O)c1cc([N+](=O)[O-])ccc1SC(C)C,ZINC000181301120
CC[C@@H](COC)NC(=O)c1ccc(C)c(C(=O)[O-])c1,ZINC000716431607
C[C@H]1C[C@H](NC(=O)Nc2ccccc2COCc2ccccc2)CC[N@H+]1C,ZINC000608282454
C[C@@H]1CS(=O)(=O)C[C@@H]1NC(=O)c1cc(N(C)C)ccn1,ZINC000346309972
CCOC(=O)CN(C)C(=O)[C@H]1CC(=O)N(CCOC)C1,ZINC000042694311
CCCCC(=O)N1CC[C@H]([NH2+]CCOc2cccc(Cl)c2)C1,ZINC001266509475
COC(=O)C[C@](C)(NC(=O)[C@@H]1CCc2c[nH+]c(C)n2C1)c1ccncc1,ZINC000515417038
C[C@@H](CC(F)(F)F)C(=O)NCc1cscc1Cl,ZINC000894165878
CCc1ccccc1C(=O)NC[C@H]1CCN(C(=O)C=C(C)C)C[C@@H]1C,ZINC001020684202
C[C@H](NC(=O)N(C)[C@@H](C)c1ccccc1F)c1cccc([N+](=O)[O-])c1,ZINC000194558850
CCCN(CC(=O)OC(C)(C)C)C(=O)CCn1cccn1,ZINC000273316912
CO[C@@H](CNC(=O)c1cc(-c2ccccc2)n[nH]1)[C@H]1CCOC1,ZINC000617149831
O=C(N[C@@H]1CC12CCC2)N1CCC[C@@H](c2ncc[nH]2)C1,ZINC000876426210
CC[S@@](=O)CCNC(=O)N[C@@H](C)C(=O)Nc1ccccc1,ZINC000735111698
CCC1([NH+]2CCOCC2)CCN(C(=O)Nc2ccccc2C[NH3+])CC1,ZINC000904623038
CC/C(C)=C/C(=O)N1CC[C@@H](CN(C)Cc2ncc(C)s2)C1,ZINC001714893096
CCc1ccnc(C(=O)N[C@H](C)C2C[NH+]([C@H](C)C(=O)NC)C2)c1,ZINC000969740968
O=C(Nc1ccnc(F)c1Cl)N1CCOC[C@@H]1[C@H]1CCOC1,ZINC001553300652
C[C@@H](Oc1ccccn1)C(=O)OCCOc1ccccc1Cl,ZINC000838271297
O=C(NOCc1ccccn1)[C@@H]1CCCN(C(=O)Nc2ccccc2F)C1,ZINC000909527353
